source_row	gene_id	gene_symbol	feature_type
14063	AC005070.3	AC005070.3	Gene Expression
13967	AC005071.1	AC005071.1	Gene Expression
14022	AC005072.1	AC005072.1	Gene Expression
13812	AC005076.1	AC005076.1	Gene Expression
13729	AC005081.1	AC005081.1	Gene Expression
13255	AC005082.1	AC005082.1	Gene Expression
13254	AC005082.2	AC005082.2	Gene Expression
13230	AC005083.1	AC005083.1	Gene Expression
14023	AC005086.2	AC005086.2	Gene Expression
13712	AC005089.1	AC005089.1	Gene Expression
13370	AC005090.1	AC005090.1	Gene Expression
13322	AC005091.1	AC005091.1	Gene Expression
14021	AC005096.1	AC005096.1	Gene Expression
13277	AC005100.1	AC005100.1	Gene Expression
13278	AC005100.2	AC005100.2	Gene Expression
5923	AC005104.1	AC005104.1	Gene Expression
5925	AC005104.3	AC005104.3	Gene Expression
29715	AC005144.1	AC005144.1	Gene Expression
13573	AC005153.1	AC005153.1	Gene Expression
13359	AC005154.3	AC005154.3	Gene Expression
13358	AC005154.4	AC005154.4	Gene Expression
13471	AC005160.1	AC005160.1	Gene Expression
13333	AC005162.1	AC005162.1	Gene Expression
13331	AC005162.2	AC005162.2	Gene Expression
13330	AC005162.3	AC005162.3	Gene Expression
13280	AC005165.1	AC005165.1	Gene Expression
13281	AC005165.3	AC005165.3	Gene Expression
29245	AC005180.1	AC005180.1	Gene Expression
29244	AC005180.2	AC005180.2	Gene Expression
31617	AC005197.1	AC005197.1	Gene Expression
29705	AC005208.1	AC005208.1	Gene Expression
28439	AC005209.1	AC005209.1	Gene Expression
33639	AC005220.1	AC005220.1	Gene Expression
28463	AC005224.1	AC005224.1	Gene Expression
28466	AC005224.2	AC005224.2	Gene Expression
28465	AC005224.3	AC005224.3	Gene Expression
24506	AC005225.1	AC005225.1	Gene Expression
24509	AC005225.2	AC005225.2	Gene Expression
24507	AC005225.3	AC005225.3	Gene Expression
14543	AC005229.4	AC005229.4	Gene Expression
14541	AC005229.5	AC005229.5	Gene Expression
13334	AC005232.1	AC005232.1	Gene Expression
4171	AC005234.1	AC005234.1	Gene Expression
4170	AC005234.2	AC005234.2	Gene Expression
5915	AC005237.1	AC005237.1	Gene Expression
28443	AC005244.2	AC005244.2	Gene Expression
22772	AC005252.4	AC005252.4	Gene Expression
31605	AC005253.1	AC005253.1	Gene Expression
31606	AC005253.2	AC005253.2	Gene Expression
30942	AC005256.1	AC005256.1	Gene Expression
30974	AC005258.2	AC005258.2	Gene Expression
32800	AC005261.1	AC005261.1	Gene Expression
32802	AC005261.2	AC005261.2	Gene Expression
32797	AC005261.3	AC005261.3	Gene Expression
31006	AC005262.2	AC005262.2	Gene Expression
31009	AC005264.1	AC005264.1	Gene Expression
28452	AC005277.1	AC005277.1	Gene Expression
28451	AC005277.2	AC005277.2	Gene Expression
24503	AC005280.1	AC005280.1	Gene Expression
24502	AC005280.2	AC005280.2	Gene Expression
13176	AC005281.1	AC005281.1	Gene Expression
29000	AC005288.1	AC005288.1	Gene Expression
28416	AC005291.1	AC005291.1	Gene Expression
28414	AC005291.2	AC005291.2	Gene Expression
21020	AC005293.1	AC005293.1	Gene Expression
34418	AC005301.2	AC005301.2	Gene Expression
28454	AC005303.1	AC005303.1	Gene Expression
28459	AC005304.1	AC005304.1	Gene Expression
28458	AC005304.2	AC005304.2	Gene Expression
28460	AC005304.3	AC005304.3	Gene Expression
30959	AC005306.1	AC005306.1	Gene Expression
31733	AC005307.1	AC005307.1	Gene Expression
28422	AC005323.1	AC005323.1	Gene Expression
28417	AC005323.2	AC005323.2	Gene Expression
28490	AC005324.1	AC005324.1	Gene Expression
28491	AC005324.2	AC005324.2	Gene Expression
28487	AC005324.5	AC005324.5	Gene Expression
30925	AC005329.1	AC005329.1	Gene Expression
